skill	layer	user_entry	is_workflow_owner	execution_role	status	skill_version	interface_version	scope_tags	calls	depends_on_tools	kb_touch	tool_touch	gate_touch	notes	skill_local_tools
academic-presentation-crafter	domain	0	1	owner	active	1.0.0	1.0.0	academic_presentation;slide_outline;research_storytelling	academic-slide-refiner	node	1	0	0	Create first-pass research slide structure/content from local artifacts	
academic-slide-refiner	domain	0	1	owner	active	1.1.0	1.0.0	slide_refinement;talk_compression;academic_rigor		node	1	1	0	Refine dense technical slides into concise 3-5 page talk format with citation discipline; workflow and constraints moved into references	
backside-benefit-attribution-evaluator	domain	0	1	owner	active	1.0.0	1.0.0	backside_benefit_attribution;three_arm_compare;fairness_contract;mechanism_claim	bspdn-physical-contract-auditor,bspdn-pdn-sufficiency-evaluator,eda-experiment-phenomenology-analyst,workflow-scoped-execution	debug_validate_execution_contract_py,common_experiment_memory_py	1	1	1	Evaluate whether backside benefit comes from CTS-only or partial signal migration under a fair and physically valid comparison contract	skills/backside-benefit-attribution-evaluator/references/scripts/scripts__debug__validate_execution_contract.py,skills/backside-benefit-attribution-evaluator/references/scripts/scripts__common__experiment_memory.py
backside-routing-realization-specialist	domain	0	0	domain	active	1.0.0	1.0.0	backside_route_realization;openroad_rerouter;local_wire_rewrite;bm1_bm2_realization	gt3-backside-route-policy,bspdn-physical-contract-auditor,eda-method-implementer,workflow-scoped-execution	scripts_debug_openroad_backside_rerouter_py,scripts_debug_sanitize_def_for_openroad_py,debug_validate_execution_contract_py	1	1	1	Diagnose and implement real backside-route realization as an expert/domain skill, including OpenROAD/OpenDB-backed local rerouting when theory predicts benefit but the current flow only reports selection bookkeeping	skills/backside-routing-realization-specialist/references/scripts/scripts__debug__openroad_backside_rerouter.py,skills/backside-routing-realization-specialist/references/scripts/scripts__debug__sanitize_def_for_openroad.py,skills/backside-routing-realization-specialist/references/scripts/scripts__debug__validate_execution_contract.py
eda-artifact-hygiene-maintainer	utility	0	1	owner	active	1.0.0	1.0.0	artifact_cleanup;duplicate_merge;stale_archive_delete;naming_normalization	eda-context-accessor,eda-infra-maintainer	tool_catalog	1	1	0	Clean and normalize knowledge-base, tool-registry, and maintained log artifacts with traceable merge, archive, delete, and rename decisions	skills/eda-artifact-hygiene-maintainer/references/scripts/scripts__common__tool_catalog.py
bscost-net	domain	0	1	owner	active	1.1.0	1.0.0	benchmark_selection;web_research;cost_model_experiment_design	bscost-theory-opt,delay-model-gate-evaluator	debug_build_paired_delta_dataset_py,debug_propose_constrained_experiments_py	1	1	1	Cost-model planning and experiment design with explicit background-knowledge links and ref-split evaluation flow	skills/bscost-net/references/scripts/scripts__debug__build_paired_delta_dataset.py,skills/bscost-net/references/scripts/scripts__debug__propose_constrained_experiments.py
bscost-theory-opt	domain	0	1	owner	active	1.2.0	1.0.0	theory_modeling;optimization;stability_gates;experience_coupled_theory	delay-model-gate-evaluator,eda-experiment-phenomenology-analyst	debug_bscost_delay_consistency_capacity_gate_py	1	1	1	Model fitting and promotion gating with explicit KB, paper-derived background knowledge, and experiment-experience coupling so theory promotion does not drift away from repeated local evidence	skills/bscost-theory-opt/references/scripts/scripts__debug__bscost_delay_consistency_capacity_gate.py
bspdn-pdn-sufficiency-evaluator	domain	0	1	owner	active	1.0.0	1.0.0	pdn_sufficiency;strict_bpr;pdn_boost;stress_check	bspdn-physical-contract-auditor,gt3-backside-route-policy,control-theory-veto,workflow-scoped-execution	debug_submit_gt3_route_rc_consistency_sh,debug_validate_execution_contract_py,common_experiment_memory_py	1	1	1	Evaluate whether the current BPR-centered PDN contract is strong enough without conflating PDN weakness with signal-mixing benefit	skills/bspdn-pdn-sufficiency-evaluator/references/scripts/scripts__debug__submit_gt3_route_rc_consistency.sh,skills/bspdn-pdn-sufficiency-evaluator/references/scripts/scripts__debug__validate_execution_contract.py,skills/bspdn-pdn-sufficiency-evaluator/references/scripts/scripts__common__experiment_memory.py
bspdn-physical-contract-auditor	domain	0	1	owner	active	1.0.0	1.0.0	physical_contract_audit;topology_validity;via_stack_reality;paper_pdk_reconciliation	control-knowledge-explorer,eda-paper-fetch,eda-pdf-local-summary,gt3-backside-route-policy	common_unified_kb_query_py,tool_catalog,debug_pdk_flow_preflight_py,debug_check_lef_layer_compatibility_py	1	1	1	Audit whether local BSPDN topology assumptions are physically coherent across papers, GT3 collateral, layer indices, and via rules before promotion or expensive attribution runs	skills/bspdn-physical-contract-auditor/references/scripts/scripts__common__unified_kb_query.py,skills/bspdn-physical-contract-auditor/references/scripts/scripts__common__tool_catalog.py,skills/bspdn-physical-contract-auditor/references/scripts/scripts__debug__pdk_flow_preflight.py,skills/bspdn-physical-contract-auditor/references/scripts/scripts__debug__check_lef_layer_compatibility.py
bspdn-goal-driver	workflow	0	1	owner	active	1.1.0	1.0.0	bspdn_goal_tracking;targeted_ppa_optimization;promotion_gate	control-preflight-reflect,delay-model-gate-evaluator,gt3-backside-route-policy,git-version-control	debug_track_bspdn_goal_progress_py,debug_propose_constrained_experiments_py	1	1	1	Drive BSPDN objective work toward explicit target goals with gated evidence and campaign control; goal, milestone, campaign, and reporting detail moved into references	skills/bspdn-goal-driver/references/scripts/scripts__debug__track_bspdn_goal_progress.py,skills/bspdn-goal-driver/references/scripts/scripts__debug__propose_constrained_experiments.py
delay-model-gate-evaluator	validation	0	1	owner	active	1.0.0	1.0.0	delay_contract_gate;bucketed_scorecard_gate	bscost-theory-opt	debug_bscost_delay_consistency_capacity_gate_py,debug_bucketed_delay_model_scorecard_py	1	1	1	Core Gate-0/Gate-1 evaluator	skills/delay-model-gate-evaluator/references/scripts/scripts__debug__bscost_delay_consistency_capacity_gate.py,skills/delay-model-gate-evaluator/references/scripts/scripts__debug__bucketed_delay_model_scorecard.py
eda-context-accessor	utility	0	1	owner	active	1.0.0	1.0.0	kb_context_loading;tool_reuse_query;context_handoff	control-knowledge-explorer,eda-infra-maintainer	common_unified_kb_query_py,tool_catalog	1	1	0	Shared utility for scoped knowledge-base retrieval and tool-registry reuse lookup, producing compact context artifacts for downstream skills	skills/eda-context-accessor/references/scripts/scripts__common__unified_kb_query.py,skills/eda-context-accessor/references/scripts/scripts__common__tool_catalog.py
eda-autoidea-bridge	utility	0	0	utility	active	1.0.0	1.0.0	autoidea_bridge;literature_recommendation;idea_import	eda-paper-fetch,eda-idea-debate-lab,eda-hypothesis-experiment-designer	paper_kb_index,paper_landscape_sync,paper_landscape_feedback,tool_catalog,common_unified_kb_query_py	1	1	1	Bridge external autoIdea outputs into local governed paper/knowledge/idea workflow.	skills/eda-autoidea-bridge/references/scripts/scripts__common__paper_kb_index.py,skills/eda-autoidea-bridge/references/scripts/scripts__common__paper_landscape_sync.py,skills/eda-autoidea-bridge/references/scripts/scripts__common__paper_landscape_feedback.py,skills/eda-autoidea-bridge/references/scripts/scripts__common__tool_catalog.py,skills/eda-autoidea-bridge/references/scripts/scripts__common__unified_kb_query.py
eda-experiment-phenomenology-analyst	utility	0	0	utility	active	1.0.0	1.0.0	experiment_phenomenology;result_conclusion_experience_lift;experience_registry	workflow-scoped-execution,control-postrun-retro,control-theory-veto,workflow-research-chain	common_experiment_memory_py,common_unified_kb_query_py	1	0	1	Horizontal extraction and maintenance of log->result->conclusion->experience layers so downstream execution, retro, and veto skills consume durable empirical knowledge instead of re-reading raw logs	skills/eda-experiment-phenomenology-analyst/references/scripts/scripts__common__experiment_memory.py,skills/eda-experiment-phenomenology-analyst/references/scripts/scripts__common__unified_kb_query.py
eda-script-pattern-curator	utility	0	0	utility	active	1.0.0	1.0.0	script_pattern_memory;wrapper_runtime_lessons;abstraction_trigger;script_antipatterns	eda-infra-maintainer,eda-method-implementer,workflow-scoped-execution,eda-context-accessor	tool_catalog,common_unified_kb_query_py	1	1	1	Horizontal maintenance of reusable script-writing experience so wrapper/runtime/abstraction lessons are captured once and reused across infrastructure and execution workflows	skills/eda-script-pattern-curator/references/scripts/scripts__common__tool_catalog.py,skills/eda-script-pattern-curator/references/scripts/scripts__common__unified_kb_query.py
eda-hypothesis-experiment-designer	control	0	1	owner	active	1.2.0	1.0.0	hypothesis_design;experiment_matrix;promotion_gate;experience_informed_hypothesis	control-preflight-reflect,control-theory-veto,eda-experiment-phenomenology-analyst	debug_propose_constrained_experiments_py,debug_check_theory_veto_gate_py	1	1	1	Translate ideas into falsifiable experiments with pass/fail criteria, using prior experiment experience when available so hypothesis design stays coupled to practice	skills/eda-hypothesis-experiment-designer/references/scripts/scripts__debug__propose_constrained_experiments.py,skills/eda-hypothesis-experiment-designer/references/scripts/scripts__debug__check_theory_veto_gate.py
eda-idea-debate-lab	control	0	1	owner	active	1.0.0	1.0.0	idea_brainstorm;pro_con_debate;idea_selection	eda-hypothesis-experiment-designer	debug_propose_constrained_experiments_py	1	0	0	Structured idea generation and adversarial debate to refine research direction	skills/eda-idea-debate-lab/references/scripts/scripts__debug__propose_constrained_experiments.py
