path	tool_id	type	lifecycle	version	owner	domain	stage	summary	tags	input_contract	output_contract	validator	last_verified	evidence_path	replacement_tool_id	command_hint
scripts/common/conda_project_env_report.py	conda_project_env_report	common_utility	active	1.0.0	donghao	infrastructure	analysis	Report project conda roots, envs, and package availability for reproducible workflow binding	conda,environment,python,package,report,infra	conda roots on disk + optional target env/package set	env TSV + markdown summary	python3 scripts/common/conda_project_env_report.py --out-prefix slurm_logs/00_meta/conda_project_env_report_latest	2026-03-07	docs/knowledge_base/114_CONDA_PROJECT_ENVIRONMENT_MANAGEMENT_WORKFLOW_20260307.md		python3 scripts/common/conda_project_env_report.py --out-prefix slurm_logs/00_meta/conda_project_env_report_latest
scripts/debug/openroad_backside_rerouter.py	scripts_debug_openroad_backside_rerouter_py	debug_tool	active	1.0.0	donghao	backside_routing	route	OpenROAD/OpenDB-backed local backside rerouting helper for selected nets	openroad,backside,reroute,opendb,route,signal	selected DEF/net data plus reroute targets	rerouted DEF or reroute diagnostics	python3 scripts/debug/openroad_backside_rerouter.py --help	2026-03-07	skills/backside-routing-realization-specialist/SKILL.md		python3 scripts/debug/openroad_backside_rerouter.py --help
scripts/debug/sanitize_def_for_openroad.py	scripts_debug_sanitize_def_for_openroad_py	debug_tool	active	1.0.0	donghao	backside_routing	utility	Sanitize DEF naming/content so OpenROAD-side reroute utilities can consume it	def,openroad,sanitize,route,utility	input DEF plus normalization options	sanitized DEF artifact	python3 scripts/debug/sanitize_def_for_openroad.py --help	2026-03-07	skills/backside-routing-realization-specialist/SKILL.md		python3 scripts/debug/sanitize_def_for_openroad.py --help
scripts/common/autoidea_bridge.py	autoidea_bridge	common_utility	active	1.0.0	donghao	knowledge	analysis	Bridge autoIdea recommendations and idea drafts into local queues/knowledge artifacts	autoidea,bridge,paper,idea,knowledge,fusion	external_tools/autoIdea outputs + local feedback queue	autoidea queue + merged queue + fusion report	python3 scripts/common/autoidea_bridge.py --autoidea-root external_tools/autoIdea	2026-03-06	docs/knowledge_base/99_AUTOIDEA_FUSION_REPORT_20260306.md		python3 scripts/common/autoidea_bridge.py --autoidea-root external_tools/autoIdea
scripts/common/build_agent_skill_bundle.py	build_agent_skill_bundle	common_utility	active	1.0.0	donghao	infrastructure	analysis	Export standalone agent+skill bundle with skill-local mirrored scripts	packaging,bundle,agent,skill,standalone,github	root agent/skills/docs/tool catalog	exports/eda_agent_skill_system bundle	python3 scripts/common/build_agent_skill_bundle.py --out-dir exports/eda_agent_skill_system	2026-03-06	exports/eda_agent_skill_system/README.md		python3 scripts/common/build_agent_skill_bundle.py --out-dir exports/eda_agent_skill_system
scripts/common/infra_stack_guard.py	infra_stack_guard	common_utility	active	1.0.0	donghao	infrastructure	preflight	Audit core infrastructure integrity: agent policy, KB, tool registry, and skills	infra,guard,audit	repo root structure + manifests	status summary + detail tsv	python3 scripts/common/infra_stack_guard.py --out-prefix slurm_logs/00_meta/infra_stack_guard_latest	2026-03-06	slurm_logs/00_meta/infra_stack_guard_toolkbskill_20260306.summary.md		python3 scripts/common/infra_stack_guard.py --out-prefix slurm_logs/00_meta/infra_stack_guard_latest
scripts/common/maintenance_log_rollup.py	maintenance_log_rollup	common_utility	active	1.0.0	donghao	infrastructure	analysis	Summarize long markdown maintenance logs into denser rollup notes with candidate experience entries and principles	maintenance,log,rollup,summary,principle,experience	markdown table log + optional date window	rollup markdown summary	python3 scripts/common/maintenance_log_rollup.py --log slurm_logs/00_meta/knowledge_tool_maintenance_log.md --out slurm_logs/00_meta/knowledge_tool_maintenance_rollup_auto_20260307.md --since-date 2026-03-07	2026-03-07	slurm_logs/00_meta/knowledge_tool_maintenance_rollup_auto_20260307.md		python3 scripts/common/maintenance_log_rollup.py --log <log.md> --out <rollup.md> --since-date 2026-03-07
scripts/common/paper_kb_index.py	paper_kb_index	common_utility	active	1.0.0	donghao	knowledge	analysis	Build/query paper evidence index with keyword/semantic/logic modes	paper,knowledge,retrieval,semantic	paper manifests + summaries	paper index json/tsv + query_last.tsv	"python3 scripts/common/paper_kb_index.py query --query ""backside routing"" --mode hybrid"	2026-03-06	docs/papers/index/query_last.tsv		python3 scripts/common/paper_kb_index.py build
scripts/common/paper_landscape_feedback.py	paper_landscape_feedback	common_utility	active	1.0.0	donghao	knowledge	analysis	Detect literature gaps/stale methods and generate targeted retrieval queue	paper,landscape,feedback,queue,gap,stale	global_research_landscape.tsv	98 feedback report + literature_feedback_queue.tsv	python3 scripts/common/paper_landscape_feedback.py	2026-03-06	docs/knowledge_base/98_LITERATURE_FEEDBACK_LOOP.md		python3 scripts/common/paper_landscape_feedback.py
scripts/common/paper_landscape_sync.py	paper_landscape_sync	common_utility	active	1.0.0	donghao	knowledge	analysis	Sync problem/method landscapes from local paper summaries into linked KB artifacts	paper,knowledge,landscape,problem,method,graph	docs/papers/summaries/*.summary.md	95/96 landscape docs + graph json + matrix tsv	python3 scripts/common/paper_landscape_sync.py build	2026-03-06	docs/knowledge_base/index/landscape_graph.json		python3 scripts/common/paper_landscape_sync.py build
scripts/common/tool_catalog.py	tool_catalog	common_utility	active	1.1.0	donghao	infrastructure	analysis	Build/query governed tool catalog with lifecycle/version facets	tool,catalog,registry,infra	keywords + optional facets	markdown table / TSV index	python3 scripts/common/tool_catalog.py query infra	2026-03-06	slurm_logs/00_meta/infra_stack_guard_toolkbskill_20260306.summary.md		python3 scripts/common/tool_catalog.py query cts route --stage cts
