tool_id	type	lifecycle	version	owner	domain	stage	path	lang	executable	summary	tags	input_contract	output_contract	validator	last_verified	evidence_path	replacement_tool_id	command_hint
common_adjust_clock_period_py	common_utility	active	0.1.0	unassigned	cts	cts	scripts/common/adjust_clock_period.py	python	1	adjust clock period	common,adjust,clock,period							python3 scripts/common/adjust_clock_period.py
autoidea_bridge	common_utility	active	1.0.0	donghao	knowledge	analysis	scripts/common/autoidea_bridge.py	python	1	Bridge autoIdea recommendations and idea drafts into local queues/knowledge artifacts	autoidea,bridge,paper,idea,knowledge,fusion	external_tools/autoIdea outputs + local feedback queue	autoidea queue + merged queue + fusion report	python3 scripts/common/autoidea_bridge.py --autoidea-root external_tools/autoIdea	2026-03-06	docs/knowledge_base/99_AUTOIDEA_FUSION_REPORT_20260306.md		python3 scripts/common/autoidea_bridge.py --autoidea-root external_tools/autoIdea
build_agent_skill_bundle	common_utility	active	1.0.0	donghao	infrastructure	analysis	scripts/common/build_agent_skill_bundle.py	python	1	Export standalone agent+skill bundle with skill-local mirrored scripts	packaging,bundle,agent,skill,standalone,github	root agent/skills/docs/tool catalog	exports/eda_agent_skill_system bundle	python3 scripts/common/build_agent_skill_bundle.py --out-dir exports/eda_agent_skill_system	2026-03-06	exports/eda_agent_skill_system/README.md		python3 scripts/common/build_agent_skill_bundle.py --out-dir exports/eda_agent_skill_system
common_cleanup_sh	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/cleanup.sh	bash	1	============================================================	common,cleanup							bash scripts/common/cleanup.sh
common_derive_innovus_tuning_py	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/derive_innovus_tuning.py	python	1	derive innovus tuning	common,derive,innovus,tuning							python3 scripts/common/derive_innovus_tuning.py
common_experiment_memory_py	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/experiment_memory.py	python	1	experiment memory	common,experiment,memory							python3 scripts/common/experiment_memory.py
infra_stack_guard	common_utility	active	1.0.0	donghao	infrastructure	preflight	scripts/common/infra_stack_guard.py	python	1	Audit core infrastructure integrity: agent policy, KB, tool registry, and skills	infra,guard,audit	repo root structure + manifests	status summary + detail tsv	python3 scripts/common/infra_stack_guard.py --out-prefix slurm_logs/00_meta/infra_stack_guard_latest	2026-03-06	slurm_logs/00_meta/infra_stack_guard_toolkbskill_20260306.summary.md		python3 scripts/common/infra_stack_guard.py --out-prefix slurm_logs/00_meta/infra_stack_guard_latest
common_init_research_chain_py	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/init_research_chain.py	python	1	init research chain	common,init,research,chain							python3 scripts/common/init_research_chain.py
common_knowledge_gate_sh	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/knowledge_gate.sh	bash	1	knowledge gate	common,knowledge,gate							bash scripts/common/knowledge_gate.sh
paper_kb_index	common_utility	active	1.0.0	donghao	knowledge	analysis	scripts/common/paper_kb_index.py	python	1	Build/query paper evidence index with keyword/semantic/logic modes	paper,knowledge,retrieval,semantic	paper manifests + summaries	paper index json/tsv + query_last.tsv	"python3 scripts/common/paper_kb_index.py query --query ""backside routing"" --mode hybrid"	2026-03-06	docs/papers/index/query_last.tsv		python3 scripts/common/paper_kb_index.py build
paper_landscape_feedback	common_utility	active	1.0.0	donghao	knowledge	analysis	scripts/common/paper_landscape_feedback.py	python	1	Detect literature gaps/stale methods and generate targeted retrieval queue	paper,landscape,feedback,queue,gap,stale	global_research_landscape.tsv	98 feedback report + literature_feedback_queue.tsv	python3 scripts/common/paper_landscape_feedback.py	2026-03-06	docs/knowledge_base/98_LITERATURE_FEEDBACK_LOOP.md		python3 scripts/common/paper_landscape_feedback.py
